$French Daily Discharge,
Auto-Generated,
JDAY,Flow
771,0.051233436
772,0.045321886
773,0.045321886
774,0.043351369
775,0.047292403
776,0.051233436
777,0.04926292
778,0.051233436
779,0.072909121
780,0.106407906
781,0.100496356
782,0.080791188
783,0.068968087
784,0.063056537
785,0.05517447
786,0.082761705
787,0.118231007
788,0.098525839
789,0.112319456
790,0.137936175
791,0.126113074
792,0.11034894
793,0.100496356
794,0.100496356
795,0.23252098
796,2.009927116
797,1.653263579
798,0.731061726
799,0.476865061
800,0.733032242
801,1.001022525
802,0.709386041
803,0.547803665
804,0.445336792
805,0.502481779
806,0.707415524
807,0.74682586
808,0.782295162
809,0.571449866
810,0.443366276
811,0.390162323
812,0.350751987
813,0.303459584
814,0.260108215
815,0.228579947
816,0.204933745
817,0.187199094
818,0.173405477
819,0.161582376
820,0.155670826
821,0.181287544
822,0.210845296
823,0.228579947
824,0.234491497
825,0.299518551
826,0.275872349
827,0.222668396
828,0.191140128
829,0.159611859
830,0.139906691
831,0.132024624
832,0.124142557
833,0.157641342
834,0.222668396
835,0.193110645
836,0.169464443
837,0.707415524
838,0.772442578
839,0.451248343
840,0.356663537
841,0.297548034
842,0.228579947
843,0.240403047
844,0.311341651
845,0.266019765
846,0.228579947
847,0.214786329
848,0.208874779
849,0.206904262
850,0.179317027
851,0.149759275
852,0.133995141
853,0.124142557
854,0.132024624
855,0.150153379
856,0.140103743
857,0.120792679
858,0.11389587
859,0.112910612
860,0.104634441
861,0.11862511
862,0.165129306
863,0.13734502
864,0.102269821
865,0.131827573
866,0.260108215
867,0.311341651
868,0.301489067
869,0.289665967
870,0.275872349
871,0.23252098
872,0.180302285
873,0.158823653
874,0.188775508
875,0.17734651
876,0.168479185
877,0.135965658
878,0.102860976
879,0.083155808
880,0.066209364
881,0.059312555
882,0.05635678
883,0.077441309
884,0.067982829
885,0.054977418
886,0.05280985
887,0.046307144
888,0.039607387
889,0.037833922
890,0.043942524
891,0.060691917
892,0.050642281
893,0.102663924
894,0.097934684
895,0.108378423
896,0.083944015
897,0.059312555
898,0.048277661
899,0.122566144
900,0.06345064
901,0.045913041
902,0.032710579
903,0.044927783
904,0.275872349
905,0.309371135
906,0.271931316
907,0.370457155
908,0.262078732
909,0.157050187
910,0.139512588
911,0.11153125
912,0.076653103
913,0.065224105
914,0.052612798
915,0.042169059
916,0.036060457
917,0.037833922
918,0.031134165
919,0.028769545
920,0.031922372
921,0.026207873
922,0.02226684
923,0.01883814
924,0.021872736
925,0.026010822
926,0.020887478
927,0.018266691
928,0.012512782
929,0.012946295
930,0.013438924
931,0.008138234
932,0.00701504
933,0.006049487
934,0.010010225
935,0.01117283
936,0.011192535
937,0.012670423
938,0.011074304
939,0.011113715
940,0.009852584
941,0.010010225
942,0.010010225
943,0.00709386
944,0.006620936
945,0.007921477
946,0.006010076
947,0.005931256
948,0.004926292
949,0.00350752
950,0.007960888
951,0.009754058
952,0.057933193
953,0.035863405
954,0.021872736
955,0.016374994
956,0.011271356
957,0.045913041
958,0.212815812
959,0.102860976
960,0.053795108
961,0.037242767
962,0.028966597
963,0.021478633
964,0.020493375
965,0.016631162
966,0.012256614
967,0.010857547
968,0.018956371
969,0.017714946
970,0.494599712
971,0.766531028
972,0.392132839
973,0.199022195
974,0.129068849
975,0.09399365
976,0.073500276
977,0.059312555
978,0.048474713
979,0.072120914
980,0.214786329
981,0.81382343
982,0.878850484
983,0.467012477
984,0.315282685
985,0.23252098
986,0.183652164
987,0.147197604
988,0.121186782
989,0.105225596
990,0.09162903
991,0.081382343
992,0.074879638
993,0.067982829
994,0.068771036
995,0.074091431
996,0.099708149
997,0.447307309
998,0.390162323
999,0.244344081
1000,0.169661495
1001,0.137147968
1002,0.311341651
1003,0.368486638
1004,0.291636484
1005,0.220697879
1006,0.183258061
1007,0.222668396
1008,0.289665967
1009,0.214786329
1010,0.161582376
1011,0.137542071
1012,0.120201524
1013,0.106013803
1014,0.095570064
1015,0.086702738
1016,0.140497846
1017,0.244344081
1018,0.401985423
1019,0.2817839
1020,0.202963228
1021,0.171829063
1022,0.200992712
1023,0.496570229
1024,0.415779041
1025,0.293607
1026,0.22660943
1027,0.1937018
1028,0.180302285
1029,0.178331769
1030,0.181287544
1031,0.297548034
1032,0.252226148
1033,0.283754416
1034,0.307400618
1035,0.295577517
1036,0.307400618
1037,0.317253202
1038,0.340899403
1039,0.313312168
1040,0.264049249
1041,0.23252098
1042,0.214786329
1043,0.199022195
1044,0.210845296
1045,0.354693021
1046,0.283754416
1047,0.230550463
1048,0.216756846
1049,0.208874779
1050,0.199022195
1051,0.220697879
1052,0.187199094
1053,0.163552893
1054,0.149956327
1055,0.145227087
1056,0.146212345
1057,0.360604571
1058,0.441395759
1059,0.323164752
1060,0.254196665
1061,0.214786329
1062,0.199022195
1063,0.189169611
1064,0.470953511
1065,0.415779041
1066,0.307400618
1067,0.254196665
1068,0.216756846
1069,0.202963228
1070,0.19488411
1071,0.23843253
1072,0.705445007
1073,0.56947935
1074,0.386221289
1075,0.28769545
1076,0.236462014
1077,0.192716541
1078,0.175967149
1079,0.178922924
1080,0.189563714
1081,0.186410887
1082,0.175967149
1083,0.17143496
1084,0.169267391
1085,0.171829063
1086,0.250255631
1087,0.352722504
1088,0.354693021
1089,0.273901833
1090,0.22660943
1091,0.208874779
1092,0.364545604
1093,0.311341651
1094,0.267990282
1095,0.240403047
1096,0.222668396
1097,0.206904262
1098,0.184046267
1099,0.156459032
1100,0.154685567
1101,0.148774017
1102,0.145227087
1103,0.138724381
1104,0.131827573
1105,0.126310126
1106,0.124142557
1107,0.129462952
1108,0.150744534
1109,0.142271312
1110,0.110545991
1111,0.099116994
1112,0.119413317
1113,0.13970964
1114,0.130448211
1115,0.114289973
1116,0.108575475
1117,0.103846234
1118,0.11153125
1119,0.143453622
1120,0.18089344
1121,0.154291464
1122,0.307400618
1123,0.425631625
1124,0.291636484
1125,0.228579947
1126,0.187593198
1127,0.168282133
1128,0.156064929
1129,0.150941585
1130,0.146015293
1131,0.140103743
1132,0.134586296
1133,0.129857056
1134,0.124536661
1135,0.119610369
1136,0.116851645
1137,0.110940095
1138,0.10680201
1139,0.097934684
1140,0.100890459
1141,0.101678666
1142,0.103452131
1143,0.110940095
1144,0.112319456
1145,0.105619699
1146,0.097146477
1147,0.093205444
1148,0.096161219
1149,0.098919942
1150,0.105422648
1151,0.216756846
1152,0.180696389
1153,0.15153274
1154,0.133601038
1155,0.125916022
1156,0.130842314
1157,0.128674746
1158,0.151138637
1159,0.199022195
1160,0.163355841
1161,0.136359761
1162,0.139315536
1163,0.224638913
1164,0.321194235
1165,0.254196665
1166,0.206904262
1167,0.181878699
1168,0.170843805
1169,0.16907034
1170,0.156064929
1171,0.145227087
1172,0.141089001
1173,0.135965658
1174,0.130054108
1175,0.11862511
1176,0.111137146
1177,0.100102252
1178,0.087490945
