$Muddy Brook inflow constituents,
Auto-Generated,
JDAY,TDS
2172,140.4
2177,139.98
2191,139.98
2197,152.52
2204,169.38
2212,174.96
2248,85.32
2268,147
2290,129.3
2297,133.44
2305,151.62
2310,131.22
2318,158.16
2323,150.3
2331,162.24
2338,169.26
2345,125.16
2352,158.46
2359,158.52
2367,162.6
2373,137.46
2380,168.84
2388,161.1
2394,172.74
2401,181.68
2409,184.62
2415,180.42
2420,180.42
2430,187.8
2437,188.88
2444,190.86
2450,186.42
2457,160.44
2465,186.84
2472,185.82
2480,185.58
2486,180.48
2494,179.64
2499,125.64
2507,179.88
2513,179.76
2518,162.48
2528,169.5
2533,180.9
2542,170.76
2556,170.76
2557,192.48
2563,192.48
2571,170.82
2577,206.04
2583,192
2591,142.98
2605,167.88
2612,171.72
2619,166.92
2624,163.26
2632,159.06
2639,151.98
2647,153.78
2653,156.3
2660,174.72
2667,175.26
2673,171.84
2682,146.7
2690,174.3
2695,176.64
2702,178.08
2709,189.18
2716,188.34
2723,201.24
2730,206.76
2737,207.18
2745,209.04
2751,211.62
2758,210.78
2765,212.7
2771,196.74
2779,204
2786,208.5
2793,191.1
2801,209.76
2807,205.56
2814,210.84
2821,206.4
2828,206.58
2835,212.4
2844,214.8
2849,213.36
2856,224.04
2863,228.96
2870,229.62
2879,210.6
2883,215.28
2891,190.2
2898,191.22
2905,212.4
2922,212.4
2923,215.149090909091
2927,215.76
2933,196.26
2941,222
2949,188.28
2955,224.52
2961,225.72
2975,198.42
2982,200.64
2989,191.52
2998,232.38
3002,196.56
3010,158.4
3016,159.72
3025,196.98
3030,203.82
3039,182.04
3045,179.88
3052,164.88
3060,174.12
3066,184.44
3073,162.54
3080,143.4
3087,178.92
3093,177.6
3101,168.54
3109,346.62
3116,217.44
3122,212.4
3129,217.38
3136,233.76
3144,230.7
3150,229.38
3157,234.78
3165,235.44
3173,226.74
3179,234.66
3185,229.92
3192,234.84
3199,234.3
3207,233.16
3213,220.8
3222,181.32
3228,169.32
3235,210.6
3242,200.82
3248,187.32
3255,221.7
3262,202.08
3269,215.82
3275,228.6
3287,228.6
3288,250.156363636364
3297,265.08
3305,227.297142857143
3311,198.96
3323,224.7
3332,203.208
3338,188.88
3351,181.32
3365,211.26
3367,211.765714285714
3379,214.8
3396,185.04
3401,190.44
3414,204.48
3424,203.9175
3430,203.58
3445,222
3458,249.36
3459,248.326153846154
3471,235.92
3485,189.384
3486,186.06
3505,232.8
3513,229.325714285714
3526,223.68
3540,247.98
3554,220.02
3555,218.4375
3570,194.7
3576,193.697142857143
3584,192.36
3598,137.28
3610,144.48
3611,143.455714285714
3624,130.14
3638,147.96
3639,145.68
3652,148.8975
