$Malden inflow constituents,
Auto-Generated,
JDAY,TDS
3101,222.54
3109,255.06
3116,235.62
3122,181.74
3129,230.58
3136,259.98
3144,249.36
3150,253.56
3157,255.3
3165,260.64
3173,230.76
3179,259.08
3185,239.1
3192,262.8
3199,256.02
3207,228.72
3213,187.86
3222,171.84
3228,167.64
3235,217.44
3242,226.14
3248,213.9
3255,227.76
3262,204.42
3269,212.76
3275,249.3
3287,249.3
3288,238.575
3305,224.55
3311,219.6
3323,229.74
3332,210.624
3338,197.88
3351,180.72
3365,243.42
3367,241.56
3379,230.4
3396,183.9
3401,196.816666666667
3414,230.4
3424,239.4
3430,244.8
3445,249.12
3458,275.4
3459,275.201538461538
3471,272.82
3485,241.18
3486,238.92
3505,259.56
3506,258.271428571429
3513,249.251428571429
3526,232.5
3540,264.72
3554,250.92
3555,248.1
3570,205.8
3576,208.114285714286
3584,211.2
3598,140.64
3610,184.2
3611,173.7
3624,161.1
3638,189.36
3639,200.76
3652,193.78875
