JDAY	WSE
1980	119.03
1981	119.03
1982	119.03
1983	119.05
1984	119.02
1985	119.00
1986	118.98
1987	118.99
1988	118.99
1989	118.99
1990	118.98
1991	118.98
1992	119.00
1993	119.01
1994	119.01
1995	119.01
1996	119.01
1997	119.00
1998	119.00
1999	118.99
2000	118.99
2001	118.98
2002	118.98
2003	119.00
2004	119.01
2005	119.01
2006	119.01
2007	119.01
2008	119.00
2009	119.00
2010	118.99
2011	119.02
2012	119.06
2013	119.07
2014	119.08
2015	119.08
2016	119.09
2017	119.09
2018	119.09
2019	119.08
2020	119.08
2021	119.08
2022	119.05
2023	119.10
2024	119.08
2025	119.06
2026	119.03
2027	119.01
2028	118.98
2029	118.95
2030	118.95
2031	118.93
2032	118.93
2033	118.95
2034	118.97
2035	119.00
2036	119.02
2037	119.02
2038	119.02
2039	119.01
2040	119.01
2041	119.02
2042	119.02
2043	119.01
2044	119.01
2045	119.00
2046	119.00
2047	118.99
2048	118.99
2049	118.98
2050	118.98
2051	118.98
2052	119.04
2053	119.04
2054	119.02
2055	119.00
2056	118.98
2057	118.97
2058	118.95
2059	118.95
2060	118.98
2061	119.00
2062	119.02
2063	119.04
2064	119.03
2065	119.02
2066	119.04
2067	119.03
2068	119.01
2069	119.00
2070	119.01
2071	118.99
2072	118.98
2073	118.97
2074	118.97
2075	118.96
2076	118.97
2077	118.97
2078	118.97
2079	118.98
2080	118.98
2081	118.99
2082	119.00
2083	119.01
2084	119.02
2085	119.03
2086	119.03
2087	119.04
2088	119.05
2089	119.05
2090	119.08
2091	119.09
2092	119.09
2093	119.09
2094	119.08
2095	119.08
2096	119.07
2097	119.06
2098	119.05
2099	119.05
2100	119.05
2101	119.09
2102	119.09
2103	119.09
2104	119.11
2105	119.11
2106	119.11
2107	119.11
2108	119.11
2109	119.06
2110	119.05
2111	119.05
2112	119.05
2113	119.05
2114	119.05
2115	119.01
2116	119.00
2117	119.02
2118	119.03
2119	119.03
2120	119.04
2121	119.05
2122	119.09
2123	119.13
2124	119.13
2125	119.11
2126	119.08
2127	119.05
2128	119.02
2129	118.99
2130	119.00
2131	119.02
2132	119.04
2133	119.05
2134	119.05
2135	119.05
2136	119.05
2137	119.06
