$West Boylston Daily Discharge,
Auto-Generated,
JDAY,Flow
1138,0.0179759998
1139,0.0164835275
1140,0.0169810183
1141,0.0171136825
1142,0.0174121769
1143,0.0186724869
1144,0.0189046493
1145,0.0177770035
1146,0.0163508633
1147,0.0156875423
1148,0.016185033
1149,0.0166493578
1150,0.0177438375
1151,0.0364826564
1152,0.0304132691
1153,0.0255046935
1154,0.0224865828
1155,0.0211931068
1156,0.0220222581
1157,0.0216574315
1158,0.0254383614
1159,0.0334977118
1160,0.0274946565
1161,0.0229509075
1162,0.0234483983
1163,0.0378092985
1164,0.0540606636
1165,0.0427842062
1166,0.0348243539
1167,0.0306122654
1168,0.0287549665
1169,0.028456472
1170,0.0262675126
1171,0.0244433798
1172,0.0237468927
1173,0.0228845754
1174,0.0218895939
1175,0.0199659629
1176,0.0187056529
1177,0.0168483541
1178,0.0147257268
1179,0.0140624058
1180,0.0140955718
1181,0.0133990847
1182,0.0114422877
1183,0.0127357637
1184,0.01293476
1185,0.0124041032
1186,0.012304605
1187,0.0113096235
1188,0.0107789667
1189,0.0101488117
1190,0.0100824796
1191,0.0099166493
1192,0.0099829814
1193,0.0096513209
1194,0.0096513209
1195,0.0092533283
1196,0.009054332
1197,0.0092864944
1198,0.010347808
1199,0.0101819778
1200,0.0095849888
1201,0.0089216678
1202,0.008391011
1203,0.0074623615
1204,0.0064010479
1205,0.0063347158
1206,0.0060030553
1207,0.0055718966
1208,0.0074623615
1209,0.0689853867
1210,0.0676587447
1211,0.0391359406
1212,0.0305459333
1213,0.0254383614
1214,0.0210936086
1215,0.0174121769
1216,0.0142614021
1217,0.0192363098
1218,0.0303137709
1219,0.0263006787
1220,0.0246092101
1221,0.0214916013
1222,0.0183739924
1223,0.0159197046
1224,0.0156543762
1225,0.0225860809
1226,0.031673579
1227,0.0306454314
1228,0.0224534167
1229,0.0175780072
1230,0.0152563836
1231,0.0167156899
1232,0.0300816085
1233,0.0273619923
1234,0.0212926049
1235,0.0162845312
1236,0.0133327526
1237,0.011608118
1238,0.0162845312
1239,0.024542878
1240,0.0191368116
1241,0.0151237194
1242,0.0124704353
1243,0.0106794685
1244,0.0089216678
1245,0.0080261844
1246,0.0127357637
1247,0.0104473062
1248,0.0084573431
1249,0.0285891362
1250,0.0630154975
1251,0.0434475272
1252,0.0364826564
1253,0.0315740809
1254,0.0256373577
1255,0.0229840736
1256,0.0204634537
1257,0.0176111732
1258,0.0149247231
1259,0.0123709371
1260,0.0181418301
1261,0.024576044
1262,0.0171800146
1263,0.0132332545
1264,0.0112432914
1265,0.0094523246
1266,0.0087890036
1267,0.0075286936
1268,0.0065005461
1269,0.0057377269
1270,0.0053397343
1271,0.0050080737
1272,0.0061025534
1273,0.0067990405
1274,0.0055718966
1275,0.0046432472
1276,0.0039799262
1277,0.0061688855
1278,0.0042784206
1279,0.0032535896
1280,0.0027759985
1281,0.0031607247
1282,0.0029683616
1283,0.0027328826
1284,0.0025836354
1285,0.0026101682
1286,0.0021060443
1287,0.0020164959
1288,0.0019634302
1289,0.0020330789
1290,0.0020761948
1291,0.0020198125
1292,0.0017379011
1293,0.0015986037
1294,0.0014294568
1295,0.0013863409
1296,0.0012669432
1297,0.0012072443
1298,0.0011740782
1299,0.001008248
1300,0.0008921668
1301,0.0008656339
1302,0.0007794022
1303,0.000789352
1304,0.0008789004
1305,0.0009982981
1306,0.0014626229
1307,0.0011740782
1308,0.0011740782
1309,0.0012271439
1310,0.001024831
1311,0.0008291513
1312,0.0009087498
1313,0.0009087498
1314,0.0009485491
1315,0.0008656339
1316,0.0008291513
1317,0.0007462362
1318,0.0011475454
1319,0.0022055424
1320,0.0035487675
1321,0.0037809299
1322,0.0033166051
1323,0.0034161033
1324,0.0080593505
1325,0.0068985387
1326,0.0068653726
1327,0.0054060664
1328,0.003847262
1329,0.0037477638
1330,0.0033497712
1331,0.0035156014
1332,0.0037477638
1333,0.0039799262
1334,0.0035819335
1335,0.0028489638
1336,0.0024509712
1337,0.0017843336
1338,0.0012039277
1339,0.0008291513
1340,0.0014460398
1341,0.0012271439
1342,0.0012404103
1343,0.001167445
1344,0.0015090553
1345,0.0019468472
1346,0.0018174996
1347,0.001419507
1348,0.0017743837
1349,0.0017080516
1350,0.001134279
1351,0.0010944797
1352,0.0011475454
1353,0.001293476
1354,0.0012536767
1355,0.0010016147
1356,0.0010812133
1357,0.0009750819
1358,0.0033829372
1359,0.0033166051
1360,0.0024012221
1361,0.0019866465
1362,0.0019800133
1363,0.0018274494
1364,0.0014062406
1365,0.0012967926
1366,0.0013763911
1367,0.0020761948
1368,0.003847262
1369,0.0033497712
1370,0.0028157978
1371,0.0025405195
1372,0.0032933889
1373,0.0043779188
1374,0.0035487675
1375,0.0025935852
1376,0.0020065461
1377,0.0018241328
1378,0.0020065461
1379,0.0021259439
1380,0.0019999129
1381,0.0024940871
1382,0.0021790096
1383,0.0025637358
1384,0.0022785077
1385,0.0030214273
1386,0.0028025313
1387,0.0025040369
1388,0.0027162996
1389,0.0079266863
1390,0.0084573431
1391,0.0065668782
1392,0.0050412398
1393,0.0042784206
1394,0.0036482656
1395,0.0032535896
1396,0.0033829372
1397,0.0032370066
1398,0.0094523246
1399,0.0726336524
1400,0.063347158
1401,0.0411259036
1402,0.02586952
1403,0.0181749961
1404,0.0139960737
1405,0.0113759556
1406,0.009684487
1407,0.0084573431
1408,0.0091206641
1409,0.0104804722
1410,0.0102151438
1411,0.0092864944
1412,0.0083246789
1413,0.0083578449
1414,0.0079266863
1415,0.0074291955
1416,0.0071970331
1417,0.0066332103
1418,0.0066332103
1419,0.0065337121
1420,0.0062352176
1421,0.0060030553
1422,0.0091869962
1423,0.0086563394
1424,0.0068653726
1425,0.0056050627
1426,0.0050744059
1427,0.0053729003
1428,0.0053065682
1429,0.0050412398
1430,0.0055718966
1431,0.0052734022
1432,0.005173904
1433,0.005837225
1434,0.0056050627
1435,0.0057045608
1436,0.0052402361
1437,0.0047427453
1438,0.0057708929
1439,0.0064010479
1440,0.0103809741
1441,0.0128684279
1442,0.0107789667
1443,0.0096181549
1444,0.0080593505
1445,0.0076281918
1446,0.0073960294
1447,0.00772769
1448,0.0189378153
1449,0.029716782
1450,0.0228514094
1451,0.0283901399
1452,0.0596988924
1453,0.0371459775
1454,0.0281248115
1455,0.0225529149
1456,0.0186061548
1457,0.0196011363
1458,0.0190373135
1459,0.0159197046
1460,0.0163840294
1461,0.0139960737
1462,0.0123377711
1463,0.0111769593
1464,0.011011129
1465,0.012304605
1466,0.0119397785
1467,0.0118071143
1468,0.0110442951
1469,0.0106794685
1470,0.0101819778
1471,0.0104141401
1472,0.0105799704
1473,0.0120061106
1474,0.0167156899
1475,0.0326685605
1476,0.0411259036
1477,0.0317399111
1478,0.0270966639
1479,0.0225860809
1480,0.018771985
1481,0.018738819
1482,0.0186061548
1483,0.0159197046
1484,0.0117407822
1485,0.0127025977
1486,0.0118402803
1487,0.0114754538
1488,0.0108121327
1489,0.0106463025
1490,0.011011129
1491,0.0125367674
1492,0.0480907744
1493,0.0573772688
1494,0.037477638
1495,0.0314414166
1496,0.0250735348
1497,0.0204634537
1498,0.0193026419
1499,0.0168815201
1500,0.0162181991
1501,0.0185066566
