"","Date","JDAY","Temperature","Specific Conductivity","TDS"
"127",2018-05-07,127,8.83970833333333,168.836875,101.302125
"128",2018-05-08,128,9.58438541666667,170.24059375,102.14435625
"129",2018-05-09,129,9.84027083333333,169.286385416667,101.57183125
"130",2018-05-10,130,10.1553645833333,169.445885416667,101.66753125
"131",2018-05-11,131,11.55784375,170.535802083333,102.32148125
"132",2018-05-12,132,9.19615625,170.1671875,102.1003125
"133",2018-05-13,133,10.0581458333333,170.835145833333,102.5010875
"134",2018-05-14,134,10.7674791666667,171.033114583333,102.61986875
"135",2018-05-15,135,11.1430625,170.649260416667,102.38955625
"136",2018-05-16,136,9.43683333333333,170.893541666667,102.536125
"137",2018-05-17,137,10.7365729166667,171.551822916667,102.93109375
"138",2018-05-18,138,9.49010416666667,172.153927083333,103.29235625
"139",2018-05-19,139,10.6353541666667,172.672239583333,103.60334375
"140",2018-05-20,140,13.3466145833333,173.613010416667,104.16780625
"141",2018-05-21,141,10.8502708333333,172.560125,103.536075
"142",2018-05-22,142,11.6388958333333,173.417875,104.050725
"143",2018-05-23,143,11.7756875,174.174625,104.504775
"144",2018-05-24,144,10.6896145833333,174.102625,104.461575
"145",2018-05-25,145,14.0997083333333,175.111916666667,105.06715
"146",2018-05-26,146,11.0275833333333,174.286802083333,104.57208125
"147",2018-05-27,147,9.65701041666667,174.97978125,104.98786875
"148",2018-05-28,148,11.8520833333333,176.010375,105.606225
"149",2018-05-29,149,12.0707708333333,175.98321875,105.58993125
"150",2018-05-30,150,10.88859375,175.477666666667,105.2866
"151",2018-05-31,151,12.7874375,176.129958333333,105.677975
"152",2018-06-01,152,11.6380416666667,174.548197916667,104.72891875
"153",2018-06-02,153,11.5679166666667,174.224375,104.534625
"154",2018-06-03,154,11.4899583333333,173.912145833333,104.3472875
"155",2018-06-04,155,11.6949791666667,174.330302083333,104.59818125
"156",2018-06-05,156,13.1742083333333,175.974239583333,105.58454375
"157",2018-06-06,157,12.0240208333333,175.526875,105.316125
"158",2018-06-07,158,13.5340833333333,176.409885416667,105.84593125
"159",2018-06-08,159,11.9677604166667,175.544395833333,105.3266375
"160",2018-06-09,160,12.3941145833333,172.82184375,103.69310625
"161",2018-06-10,161,12.2298958333333,171.397854166667,102.8387125
"162",2018-06-11,162,12.2401770833333,170.84690625,102.50814375
"163",2018-06-12,163,15.3063541666667,174.165927083333,104.49955625
"164",2018-06-13,164,15.7325625,175.91421875,105.54853125
"165",2018-06-14,165,15.0337916666667,176.0484375,105.6290625
"166",2018-06-15,166,12.4330833333333,170.420979166667,102.2525875
"167",2018-06-16,167,13.0588645833333,166.610854166667,99.9665125
"168",2018-06-17,168,12.6701354166667,166.593333333333,99.956
"169",2018-06-18,169,13.89190625,168.286583333333,100.97195
"170",2018-06-19,170,12.4385104166667,167.569322916667,100.54159375
"171",2018-06-20,171,13.4842916666667,165.498239583333,99.29894375
"172",2018-06-21,172,12.1488125,164.653697916667,98.79221875
"173",2018-06-22,173,12.9405208333333,163.423645833333,98.0541875
"174",2018-06-23,174,12.6608645833333,161.53521875,96.92113125
"175",2018-06-24,175,13.6785625,160.809697916667,96.48581875
"176",2018-06-25,176,12.6530625,160.895135416667,96.53708125
"177",2018-06-26,177,13.69709375,159.145447916667,95.48726875
"178",2018-06-27,178,15.0183541666667,163.626270833333,98.1757625
"179",2018-06-28,179,12.87971875,160.941083333333,96.56465
"180",2018-06-29,180,12.9392291666667,153.547197916667,92.12831875
"181",2018-06-30,181,12.92946875,154.328,92.5968
"182",2018-07-01,182,12.6863958333333,153.25678125,91.95406875
"183",2018-07-02,183,13.5675,151.767802083333,91.06068125
"184",2018-07-03,184,13.4136041666667,151.92921875,91.15753125
"185",2018-07-04,185,13.5663854166667,149.437135416667,89.66228125
"186",2018-07-05,186,13.51521875,149.442010416667,89.66520625
"187",2018-07-06,187,12.8681145833333,152.411770833333,91.4470625
