"","JDAY","WSE"
"945",945,118.37
"946",946,118.39
"947",947,118.41
"948",948,118.42
"949",949,118.45
"950",950,118.48
"951",951,118.5
"952",952,118.58
"953",953,118.62
"954",954,118.65
"955",955,118.67
"956",956,118.7
"957",957,118.75
"958",958,118.84
"959",959,118.89
"960",960,118.92
"961",961,118.92
"962",962,118.94
"963",963,118.94
"964",964,118.95
"965",965,118.95
"966",966,118.94
"967",967,118.85
"968",968,118.77
"969",969,118.71
"970",970,118.77
"971",971,118.9
"972",972,118.93
"973",973,118.92
"974",974,118.88
"975",975,118.89
"976",976,118.9
"977",977,118.91
"978",978,118.91
"979",979,118.93
"980",980,118.92
"981",981,118.98
"982",982,119.23
"983",983,119.31
"984",984,119.31
"985",985,119.3
"986",986,119.27
"987",987,119.22
"988",988,119.16
"989",989,119.11
"990",990,119.04
"991",991,118.99
"992",992,118.95
"993",993,118.91
"994",994,118.92
"995",995,118.92
"996",996,118.94
"997",997,118.99
"998",998,119.02
"999",999,119.02
"1000",1000,119
"1001",1001,118.98
"1002",1002,119
"1003",1003,119.02
"1004",1004,119.03
"1005",1005,119.03
"1006",1006,119.02
"1007",1007,119.04
"1008",1008,119.04
"1009",1009,119.05
"1010",1010,119.03
"1011",1011,119.01
"1012",1012,118.99
"1013",1013,118.97
"1014",1014,118.95
"1015",1015,118.93
"1016",1016,118.92
"1017",1017,118.93
"1018",1018,118.96
"1019",1019,118.96
"1020",1020,118.95
"1021",1021,118.93
"1022",1022,118.92
"1023",1023,118.97
"1024",1024,119.02
"1025",1025,119.05
"1026",1026,119.07
"1027",1027,119.08
"1028",1028,119.07
"1029",1029,119.06
"1030",1030,119.06
"1031",1031,119.09
"1032",1032,119.11
"1033",1033,119.15
"1034",1034,119.15
"1035",1035,119.14
"1036",1036,119.12
"1037",1037,119.12
"1038",1038,119.11
"1039",1039,119.1
"1040",1040,119.09
"1041",1041,119.07
"1042",1042,119.05
"1043",1043,119.02
"1044",1044,118.99
"1045",1045,119
"1046",1046,119
"1047",1047,118.99
"1048",1048,118.98
"1049",1049,118.95
"1050",1050,118.92
"1051",1051,118.92
"1052",1052,118.92
"1053",1053,118.92
"1054",1054,118.91
"1055",1055,118.91
"1056",1056,118.9
"1057",1057,118.93
"1058",1058,118.96
"1059",1059,118.98
"1060",1060,118.98
"1061",1061,118.97
"1062",1062,118.95
"1063",1063,118.94
"1064",1064,118.97
"1065",1065,119.02
"1066",1066,119.04
"1067",1067,119.05
"1068",1068,119.04
"1069",1069,119.03
"1070",1070,119.01
"1071",1071,118.99
"1072",1072,119.09
"1073",1073,119.2
"1074",1074,119.27
"1075",1075,119.29
"1076",1076,119.29
"1077",1077,119.29
"1078",1078,119.27
"1079",1079,119.24
"1080",1080,119.22
"1081",1081,119.18
"1082",1082,119.15
"1083",1083,119.12
"1084",1084,119.08
"1085",1085,119.04
"1086",1086,119.03
"1087",1087,119.04
"1088",1088,119.05
"1089",1089,119.05
"1090",1090,119.04
"1091",1091,119.02
"1092",1092,119.04
"1093",1093,119.06
"1094",1094,119.05
"1095",1095,119.04
"1096",1096,119.02
"1097",1097,119.01
"1098",1098,118.99
"1099",1099,118.97
"1100",1100,118.95
"1101",1101,118.92
"1102",1102,118.89
"1103",1103,118.87
"1104",1104,118.86
"1105",1105,118.88
"1106",1106,118.89
"1107",1107,118.89
"1108",1108,118.92
"1109",1109,118.94
"1110",1110,118.94
"1111",1111,118.94
"1112",1112,118.95
"1113",1113,118.96
"1114",1114,118.98
"1115",1115,119
"1116",1116,119.02
"1117",1117,119.04
"1118",1118,119.05
"1119",1119,119.05
"1120",1120,119.05
"1121",1121,119.05
"1122",1122,119.05
"1123",1123,119.12
"1124",1124,119.16
"1125",1125,119.18
"1126",1126,119.18
"1127",1127,119.16
"1128",1128,119.14
"1129",1129,119.11
"1130",1130,119.08
"1131",1131,119.05
"1132",1132,119.05
"1133",1133,119.05
"1134",1134,119.06
"1135",1135,119.06
"1136",1136,119.05
"1137",1137,119.06
"1138",1138,119.06
"1139",1139,119.06
"1140",1140,119.05
"1141",1141,119.04
"1142",1142,119.03
"1143",1143,119.04
"1144",1144,119.05
"1145",1145,119.05
"1146",1146,119.06
"1147",1147,119.06
"1148",1148,119.05
"1149",1149,119.04
"1150",1150,119.03
"1151",1151,119.05
"1152",1152,119.06
"1153",1153,119.07
"1154",1154,119.06
"1155",1155,119.05
"1156",1156,119.07
"1157",1157,119.07
"1158",1158,119.09
"1159",1159,119.09
"1160",1160,119.1
"1161",1161,119.11
"1162",1162,119.12
"1163",1163,119.16
"1164",1164,119.23
"1165",1165,119.27
"1166",1166,119.28
"1167",1167,119.28
"1168",1168,119.26
"1169",1169,119.23
"1170",1170,119.21
"1171",1171,119.19
"1172",1172,119.18
"1173",1173,119.16
"1174",1174,119.15
"1175",1175,119.14
"1176",1176,119.13
"1177",1177,119.12
"1178",1178,119.11
"1179",1179,119.09
"1180",1180,119.09
"1181",1181,119.09
"1182",1182,119.08
"1183",1183,119.05
"1184",1184,119.05
"1185",1185,119.08
"1186",1186,119.06
"1187",1187,119.06
"1188",1188,119.06
"1189",1189,119.05
"1190",1190,119.05
"1191",1191,119.04
"1192",1192,119.05
"1193",1193,119.04
"1194",1194,119.05
"1195",1195,119.06
"1196",1196,119.08
"1197",1197,119.07
"1198",1198,119.07
"1199",1199,119.08
"1200",1200,119.08
"1201",1201,119.09
"1202",1202,119.08
"1203",1203,119.08
"1204",1204,119.08
"1205",1205,119.08
"1206",1206,119.07
"1207",1207,119.03
"1208",1208,119
"1209",1209,119.05
"1210",1210,119.1
"1211",1211,119.1
"1212",1212,119.09
"1213",1213,119.08
"1214",1214,119.08
"1215",1215,119.08
"1216",1216,119.07
"1217",1217,119.06
"1218",1218,119.09
"1219",1219,119.09
"1220",1220,119.09
"1221",1221,119.09
"1222",1222,119.09
"1223",1223,119.08
"1224",1224,119.06
"1225",1225,119.06
"1226",1226,119.06
"1227",1227,119.06
"1228",1228,119.05
"1229",1229,119.03
"1230",1230,119.01
"1231",1231,119.02
"1232",1232,119.03
"1233",1233,119.03
"1234",1234,119.02
"1235",1235,119.01
"1236",1236,119
"1237",1237,118.98
"1238",1238,118.99
"1239",1239,119.02
"1240",1240,119.04
"1241",1241,119.04
"1242",1242,119.03
"1243",1243,119.02
"1244",1244,119.01
"1245",1245,119
"1246",1246,119
"1247",1247,119.01
"1248",1248,119
"1249",1249,119.03
"1250",1250,119.11
"1251",1251,119.14
"1252",1252,119.16
"1253",1253,119.16
"1254",1254,119.14
"1255",1255,119.12
"1256",1256,119.09
"1257",1257,119.08
"1258",1258,119.06
"1259",1259,119.05
"1260",1260,119.04
"1261",1261,119.04
"1262",1262,119.03
"1263",1263,119.02
"1264",1264,119
"1265",1265,118.98
"1266",1266,118.98
"1267",1267,118.97
"1268",1268,118.96
"1269",1269,118.95
"1270",1270,118.96
"1271",1271,118.98
"1272",1272,118.98
"1273",1273,119.02
"1274",1274,119.03
"1275",1275,119.03
"1276",1276,119.02
"1277",1277,119.01
"1278",1278,119
"1279",1279,118.99
"1280",1280,119
"1281",1281,118.99
"1282",1282,118.99
"1283",1283,118.99
"1284",1284,118.98
"1285",1285,118.98
"1286",1286,118.98
"1287",1287,118.98
"1288",1288,118.99
"1289",1289,118.98
"1290",1290,118.98
"1291",1291,118.97
"1292",1292,118.97
"1293",1293,118.97
"1294",1294,118.95
"1295",1295,118.95
"1296",1296,118.95
"1297",1297,118.97
"1298",1298,118.98
"1299",1299,118.97
"1300",1300,118.96
"1301",1301,118.97
"1302",1302,118.97
"1303",1303,118.96
"1304",1304,118.95
"1305",1305,118.97
"1306",1306,119
"1307",1307,119
"1308",1308,119
"1309",1309,119.01
"1310",1310,119.01
"1311",1311,119.01
"1312",1312,119.01
"1313",1313,119.01
"1314",1314,119.03
"1315",1315,119.02
"1316",1316,119
"1317",1317,118.99
"1318",1318,118.98
"1319",1319,119.02
"1320",1320,119.03
"1321",1321,119.03
"1322",1322,119.03
"1323",1323,119.03
"1324",1324,119.07
"1325",1325,119.08
"1326",1326,119.09
"1327",1327,119.1
"1328",1328,119.1
"1329",1329,119.09
"1330",1330,119.08
"1331",1331,119.06
"1332",1332,119.05
"1333",1333,119.02
"1334",1334,119
"1335",1335,118.99
"1336",1336,118.97
"1337",1337,118.95
"1338",1338,118.93
"1339",1339,118.92
"1340",1340,118.92
"1341",1341,118.93
"1342",1342,118.94
"1343",1343,118.95
"1344",1344,118.98
"1345",1345,118.99
"1346",1346,118.98
"1347",1347,118.97
"1348",1348,118.97
"1349",1349,118.95
"1350",1350,118.94
"1351",1351,118.94
"1352",1352,118.93
"1353",1353,118.92
"1354",1354,118.93
"1355",1355,118.93
"1356",1356,118.94
"1357",1357,118.94
"1358",1358,118.97
"1359",1359,118.97
"1360",1360,118.96
"1361",1361,118.95
"1362",1362,118.94
"1363",1363,118.94
"1364",1364,118.93
"1365",1365,118.95
"1366",1366,118.98
"1367",1367,119
"1368",1368,119.06
"1369",1369,119.09
"1370",1370,119.12
"1371",1371,119.14
"1372",1372,119.17
"1373",1373,119.2
"1374",1374,119.22
"1375",1375,119.23
"1376",1376,119.24
"1377",1377,119.26
"1378",1378,119.27
"1379",1379,119.27
"1380",1380,119.29
"1381",1381,119.3
"1382",1382,119.3
"1383",1383,119.31
"1384",1384,119.32
"1385",1385,119.27
"1386",1386,119.23
"1387",1387,119.19
"1388",1388,119.14
"1389",1389,119.12
"1390",1390,119.09
"1391",1391,119.05
"1392",1392,119.02
"1393",1393,118.98
"1394",1394,118.95
"1395",1395,118.93
"1396",1396,118.87
"1397",1397,118.81
"1398",1398,118.78
"1399",1399,118.84
"1400",1400,118.88
"1401",1401,118.87
"1402",1402,118.91
"1403",1403,118.96
"1404",1404,118.99
"1405",1405,119.02
"1406",1406,119.05
"1407",1407,119.07
"1408",1408,119.11
"1409",1409,119.14
"1410",1410,119.18
"1411",1411,119.21
"1412",1412,119.23
"1413",1413,119.28
"1414",1414,119.3
"1415",1415,119.28
"1416",1416,119.25
"1417",1417,119.21
"1418",1418,119.17
"1419",1419,119.14
"1420",1420,119.11
"1421",1421,119.08
"1422",1422,119.04
"1423",1423,119.02
"1424",1424,118.98
"1425",1425,118.95
"1426",1426,118.92
"1427",1427,118.94
"1428",1428,118.98
"1429",1429,119.01
"1430",1430,119.03
"1431",1431,119.07
"1432",1432,119.1
"1433",1433,119.12
"1434",1434,119.15
"1435",1435,119.18
"1436",1436,119.21
"1437",1437,119.23
"1438",1438,119.27
"1439",1439,119.3
"1440",1440,119.34
"1441",1441,119.31
"1442",1442,119.28
"1443",1443,119.25
"1444",1444,119.21
"1445",1445,119.17
"1446",1446,119.14
"1447",1447,119.11
"1448",1448,119.1
"1449",1449,119.09
"1450",1450,119.07
"1451",1451,119.05
"1452",1452,119.08
"1453",1453,119.07
"1454",1454,119.05
"1455",1455,119.04
"1456",1456,119.02
"1457",1457,119.03
"1458",1458,119.02
