$Constituent data for runoff (Weighted Average of Minor Tribs + load balance), , , , , , ,
From Trib WQ2017.R, , , , , , ,
JDAY,TDS,UV254,PO4,NH4,NO3,PSI,TOC
197,342.5998365,0.238842378,0.013384855,0.027003389,0.307599431,7.913897993,6.104048437
198,930.5748504,0.651077242,0.036615382,0.07531379,0.845304267,10.6,16.65664995
199,796.9053309,0.559584487,0.031581653,0.066208469,0.732416437,10.6,14.33089266
200,123.4581839,0.087011717,0.00492827,0.010527064,0.114812088,2.9251639,2.230702599
201,52.23890886,0.035872058,0.002050178,0.004339663,0.048339562,1.227609769,0.923312335
202,11.03790113,0.007383153,0.000425895,0.000893122,0.010163902,0.257286896,0.1908177
203,13.47343542,0.008776274,0.000511101,0.001061566,0.012346439,0.31153223,0.227787625
204,14.03042291,0.008897261,0.000523244,0.001076118,0.012795202,0.32182291,0.231942972
205,66.61978583,0.041116261,0.002442497,0.00497259,0.060466639,1.515997986,1.076733838
206,122.4951991,0.073556115,0.004415076,0.008895122,0.110659999,2.765609506,1.935315231
207,321.9379962,0.188026429,0.011406949,0.022736031,0.289484435,7.211858635,4.971208437
208,272.8138408,0.155042305,0.009509778,0.018745934,0.244378315,6.068911489,4.119829964
209,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,2000,1.1,0.06,0.13,1.6,10.6,22
219,2000,1.1,0.06,0.13,1.6,10.6,22
220,60.77346087,0.024305969,0.001755515,0.00293452,0.052774377,1.262744022,0.69857291
221,55.83842424,0.02162593,0.001588723,0.002610519,0.048418504,1.155005312,0.626878595
222,133.2966311,0.049954058,0.00373523,0.00602902,0.11541737,2.744910556,1.461063513
223,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0
226,7.39026314,0.002455737,0.000198584,0.000296144,0.006491428,0.152536737,0.074804995
227,2.772101669,0.000891637,7.36892E-05,0.000107499,0.00244364,0.057249994,0.027476436
228,2.731502961,0.000849462,7.18208E-05,0.000102388,0.002416427,0.05644427,0.026498844
229,5.207756145,0.001610889,0.00013645,0.000193384,0.004584936,0.10716921,0.050278949
230,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0
232,53.55855678,0.016304301,0.00138874,0.001933441,0.046482185,1.088669695,0.509727881
233,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0
239,145.5326661,0.043919914,0.003789834,0.005056436,0.125699648,2.957925751,1.378426067
240,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,21.69396983,0.006796012,0.000591911,0.000765388,0.019505021,0.526607751,0.21389177
245,10.40048907,0.003360915,0.000293271,0.00037682,0.009651509,0.260753276,0.105838218
246,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0
252,24.47264393,0.009327648,0.000824649,0.001012507,0.026893081,0.730023271,0.294907158
253,14.12792241,0.005148747,0.000456051,0.00055624,0.014853171,0.403469423,0.16287843
254,8.448360189,0.002949289,0.000261724,0.000317101,0.008513037,0.23140434,0.093353065
255,44.42340015,0.014880052,0.001322957,0.001592168,0.042975586,1.16897306,0.471265361
256,40.86958315,0.013155604,0.001171839,0.001400825,0.038017081,1.034802294,0.416890628
257,25.16969153,0.007796987,0.000695825,0.000826177,0.022544772,0.614073819,0.247222994
258,23.14090795,0.007056074,0.000630889,0.000743989,0.020414268,0.556422737,0.223859977
259,25.40886515,0.007627668,0.000683281,0.00080027,0.022080786,0.602257377,0.242134582
260,117.9930518,0.034879809,0.003130397,0.003641191,0.101029778,2.757488571,1.107876413
261,57.82767068,0.016836406,0.001513886,0.001748748,0.048795272,1.332720259,0.535080708
262,39.28272337,0.011266624,0.001014978,0.001164295,0.032672002,0.892964379,0.358275346
