                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
    86.996,   1,  0.20950873E+08,   0.53768342E+07,  -0.57562357E+08,  -0.19147341E+08,  -0.14543361E+07,   0.44133655E+07,   0.43723045E+08,   0.00000000E+00,  -0.64814236E-11,
    87.999,   1,  0.21154237E+08,   0.53768342E+07,  -0.58217901E+08,  -0.19159214E+08,  -0.14670057E+07,   0.45191182E+07,   0.44098768E+08,   0.00000000E+00,   0.59745531E-10,
    88.996,   1,  0.21427503E+08,   0.53895285E+07,  -0.58863340E+08,  -0.19170081E+08,  -0.14721076E+07,   0.46172766E+07,   0.44603010E+08,   0.00000000E+00,   0.86620022E-10,
    89.999,   1,  0.21754063E+08,   0.54133304E+07,  -0.59524009E+08,  -0.19181220E+08,  -0.14722663E+07,   0.46967483E+07,   0.45223036E+08,   0.00000000E+00,   0.10857076E-09,
    90.999,   1,  0.22053852E+08,   0.54133304E+07,  -0.60179823E+08,  -0.19202807E+08,  -0.15061569E+07,   0.47840075E+07,   0.45806407E+08,   0.00000000E+00,   0.11000023E-09,
    92.000,   1,  0.22288650E+08,   0.54133304E+07,  -0.60825589E+08,  -0.19236193E+08,  -0.15569402E+07,   0.48740071E+07,   0.46278120E+08,   0.00000000E+00,   0.10363921E-09,
    93.000,   1,  0.22500781E+08,   0.55021907E+07,  -0.61476723E+08,  -0.19274514E+08,  -0.15830778E+07,   0.49483835E+07,   0.46718219E+08,   0.00000000E+00,   0.11245119E-09,
    93.999,   1,  0.22767827E+08,   0.56989528E+07,  -0.62130230E+08,  -0.19316437E+08,  -0.16030220E+07,   0.49831866E+07,   0.47285421E+08,   0.00000000E+00,   0.15795084E-09,
    94.998,   1,  0.23120030E+08,   0.58433509E+07,  -0.62796860E+08,  -0.19357152E+08,  -0.16086809E+07,   0.50334358E+07,   0.48029017E+08,   0.00000000E+00,   0.24912700E-09,
    96.000,   1,  0.23443084E+08,   0.58433509E+07,  -0.63468257E+08,  -0.19397581E+08,  -0.17106204E+07,   0.51945811E+07,   0.48748136E+08,   0.00000000E+00,   0.31342999E-09,
    96.996,   1,  0.23717068E+08,   0.59401451E+07,  -0.64119081E+08,  -0.19438461E+08,  -0.17471123E+07,   0.54421977E+07,   0.49404779E+08,   0.00000000E+00,   0.55522654E-09,
    97.998,   1,  0.23993544E+08,   0.59639470E+07,  -0.64786300E+08,  -0.19478493E+08,  -0.17786238E+07,   0.56578857E+07,   0.50061221E+08,   0.00000000E+00,   0.12045034E-08,
    98.998,   1,  0.24241809E+08,   0.59639470E+07,  -0.65461797E+08,  -0.19559057E+08,  -0.18202584E+07,   0.57841393E+07,   0.50649886E+08,   0.00000000E+00,   0.22211689E-08,
    99.998,   1,  0.24449574E+08,   0.59639470E+07,  -0.66141673E+08,  -0.19718643E+08,  -0.18662037E+07,   0.58815865E+07,   0.51152888E+08,   0.00000000E+00,   0.16024474E-08,
   100.996,   1,  0.24630897E+08,   0.59719817E+07,  -0.66825900E+08,  -0.19924131E+08,  -0.18903263E+07,   0.60393904E+07,   0.51605942E+08,   0.00000000E+00,   0.11157465E-08,
   101.998,   1,  0.24796911E+08,   0.59719817E+07,  -0.67495817E+08,  -0.20136675E+08,  -0.19156529E+07,   0.62151397E+07,   0.52027020E+08,   0.00000000E+00,   0.73189767E-09,
   102.998,   1,  0.24963504E+08,   0.60005440E+07,  -0.68168685E+08,  -0.20348585E+08,  -0.19379785E+07,   0.63482354E+07,   0.52433723E+08,   0.00000000E+00,   0.61039001E-09,
   103.999,   1,  0.25126106E+08,   0.60005440E+07,  -0.68833008E+08,  -0.20559034E+08,  -0.19428847E+07,   0.64469303E+07,   0.52818121E+08,   0.00000000E+00,   0.52461126E-09,
   104.999,   1,  0.25270598E+08,   0.60005440E+07,  -0.69460959E+08,  -0.20768032E+08,  -0.19530368E+07,   0.65246903E+07,   0.53159986E+08,   0.00000000E+00,   0.36191057E-09,
   105.998,   1,  0.25519813E+08,   0.61132062E+07,  -0.70105921E+08,  -0.21001844E+08,  -0.19927862E+07,   0.66308773E+07,   0.53761707E+08,   0.00000000E+00,   0.38387178E-09,
   107.000,   1,  0.26268450E+08,   0.69417595E+07,  -0.70766786E+08,  -0.21237642E+08,  -0.20198594E+07,   0.67419771E+07,   0.55293178E+08,   0.00000000E+00,  -0.35010856E-09,
   107.999,   1,  0.27197371E+08,   0.69417595E+07,  -0.71424457E+08,  -0.21580325E+08,  -0.20417441E+07,   0.68292411E+07,   0.57178465E+08,   0.00000000E+00,  -0.12740975E-09,
