$MET data for Worcester Airport; FROM: NCEI CDO_2017_METDATA, , , , , 
JDAY,TAIR,TDEW,WIND,PH10,CLOUD
Day,C,C,m S-1,rad,tenth
6.7875,-3.33,-13.33,4.47,4.712,1.563
6.829167,-4.44,-12.78,4.023,5.061,0
6.870833,-4.44,-13.89,3.576,4.887,0
6.9125,-6.11,-13.89,4.023,5.236,0
6.954167,-6.11,-13.89,4.47,5.061,0
6.995833,-6.67,-14.44,4.023,5.236,0
7.0375,-7.22,-15,4.47,5.061,0
7.079167,-7.22,-15,4.47,5.061,0
7.120833,-7.78,-15,3.576,5.061,0
7.1625,-8.33,-15,3.576,5.236,0
7.204167,-8.89,-15,4.47,5.411,0
7.245833,-9.44,-15.56,3.576,5.411,0
7.2875,-8.89,-15,4.023,5.585,0
7.329167,-8.89,-14.44,3.576,6.109,0
7.370833,-8.89,-15,3.576,6.109,0
7.4125,-8.33,-15,3.129,6.283,0
7.454167,-8.33,-15,3.129,0.175,0
7.495833,-8.33,-15,2.682,0.175,1.676
7.5375,-8.33,-15,4.023,6.283,3.352
7.579167,-7.78,-15,2.235,0.524,5.028
7.620833,-7.78,-15,3.576,0.524,6.704
7.6625,-7.78,-15.56,3.576,0.349,8.38
7.683333,-8.33,-15,4.917,0.524,9.218
7.688889,-8.33,-13.89,4.917,0.698,9.441
7.702778,-8.89,-12.78,4.47,0.524,10
7.704167,-8.89,-12.78,4.023,0.524,10
7.711111,-8.89,-11.67,3.129,0.349,10
7.744444,-8.89,-12.22,4.917,6.283,10
7.745833,-9.44,-11.67,4.023,0.175,10
7.752778,-9.44,-11.67,4.47,0.175,10
7.7875,-9.44,-11.67,5.812,6.283,10
7.829167,-9.44,-11.67,4.023,6.283,10
7.870833,-9.44,-11.67,6.259,0.175,10
7.897222,-9.44,-11.67,6.706,0.175,10
7.907639,-9.44,-11.67,6.706,0.175,10
7.9125,-9.44,-12.22,6.706,0.175,10
7.922222,-9.44,-11.67,6.706,0.175,10
7.950694,-10,-12.22,6.706,0.349,10
7.954167,-10,-12.22,6.706,0.175,10
