$Malden Brook Daily Discharge,
Auto-Generated,
JDAY,Flow
1106,0.151159834
1107,0.157638113
1108,0.183551227
1109,0.173233969
1110,0.134604233
1111,0.120687931
1112,0.145401364
1113,0.170114797
1114,0.158837794
1115,0.139163022
1116,0.132204871
1117,0.126446401
1118,0.135803914
1119,0.174673586
1120,0.220261473
1121,0.18787008
1122,0.374300542
1123,0.518262289
1124,0.355105642
1125,0.278326044
1126,0.228419305
1127,0.204905553
1128,0.190029506
1129,0.183791163
1130,0.177792757
1131,0.17059467
1132,0.163876455
1133,0.158117985
1134,0.151639707
1135,0.145641301
1136,0.142282193
1137,0.135084106
1138,0.130045445
1139,0.119248314
1140,0.122847357
1141,0.123807102
1142,0.125966528
1143,0.135084106
1144,0.136763659
1145,0.128605827
1146,0.118288569
1147,0.113489844
1148,0.117088887
1149,0.120447995
1150,0.128365891
1151,0.263929869
1152,0.220021536
1153,0.184510972
1154,0.162676774
1155,0.15331926
1156,0.159317666
1157,0.156678368
1158,0.1840311
1159,0.242335607
1160,0.198907147
1161,0.166035881
1162,0.169634925
1163,0.273527319
1164,0.391096079
1165,0.309517756
1166,0.251933057
1167,0.221461154
1168,0.208024724
1169,0.205865298
1170,0.190029506
1171,0.176833012
1172,0.171794351
1173,0.165556009
1174,0.158357922
1175,0.144441619
1176,0.135324042
1177,0.121887612
1178,0.106531693
1179,0.101732968
1180,0.101972904
1181,0.096934243
1182,0.082778004
1183,0.092135518
1184,0.093575135
1185,0.089736156
1186,0.089016347
1187,0.081818259
1188,0.07797928
1189,0.073420491
1190,0.072940618
1191,0.071740937
1192,0.07222081
1193,0.069821447
1194,0.069821447
1195,0.066942212
1196,0.065502595
1197,0.067182149
1198,0.074860108
1199,0.073660427
1200,0.069341575
1201,0.06454285
1202,0.06070387
1203,0.053985655
1204,0.046307695
1205,0.045827823
1206,0.04342846
1207,0.040309289
1208,0.053985655
1209,0.499067389
1210,0.489469939
1211,0.283124769
1212,0.220981281
1213,0.1840311
1214,0.152599452
1215,0.125966528
1216,0.103172585
1217,0.139163022
1218,0.219301728
1219,0.190269442
1220,0.178032694
1221,0.155478687
1222,0.13292468
1223,0.115169397
1224,0.113249907
1225,0.163396583
1226,0.229139114
1227,0.22170109
1228,0.162436838
1229,0.12716621
1230,0.110370673
1231,0.120927867
1232,0.217622174
1233,0.197947402
1234,0.154039069
1235,0.117808696
1236,0.09645437
1237,0.083977686
1238,0.117808696
1239,0.177552821
1240,0.138443213
1241,0.109410928
1242,0.090216028
1243,0.077259471
1244,0.06454285
1245,0.058064571
1246,0.092135518
1247,0.075579917
1248,0.061183742
1249,0.206825043
1250,0.455878865
1251,0.314316481
1252,0.263929869
1253,0.228419305
1254,0.185470717
1255,0.166275818
1256,0.148040663
1257,0.127406146
1258,0.10797131
1259,0.089496219
1260,0.131245126
1261,0.177792757
1262,0.124286975
1263,0.095734562
1264,0.081338387
1265,0.06838183
1266,0.063583105
1267,0.054465528
1268,0.047027504
1269,0.04150897
1270,0.038629735
1271,0.036230373
1272,0.044148269
1273,0.04918693
1274,0.040309289
1275,0.033591074
1276,0.028792349
1277,0.044628142
1278,0.030951776
1279,0.023537746
1280,0.020082664
1281,0.022865924
1282,0.021474294
1283,0.019770747
1284,0.018691033
1285,0.018882982
1286,0.015235952
1287,0.014588124
1288,0.014204226
1289,0.014708092
1290,0.015020009
1291,0.014612117
1292,0.012572659
1293,0.011564927
1294,0.010341252
1295,0.010029335
1296,0.009165565
1297,0.008733679
1298,0.008493743
1299,0.007294062
1300,0.006454285
1301,0.006262336
