$Waushacum (Frbk)  inflow constituents,
Auto-Generated,
JDAY,TDS
2883,262.86
2891,268.8
2898,243.36
2905,260.82
2922,260.82
2923,251.247272727273
2927,249.12
2933,245.22
2941,239.94
2949,254.34
2955,248.4
2961,253.2
2975,250.98
2982,227.04
2989,244.38
2998,257.64
3002,227.04
3010,218.46
3016,219.84
3025,220.74
3030,229.32
3039,243.42
3045,234.36
3052,235.68
3060,237.72
3066,251.7
3073,222.18
3080,216.3
3087,239.88
3093,243
3101,242.76
3109,281.82
3116,296.4
3122,303
3129,281.64
3136,294.36
3144,294
3150,274.56
3157,305.64
3165,297.66
3173,65.1
3179,202.08
3185,302.76
3192,316.32
3199,302.82
3207,295.2
3213,296.1
3222,236.4
3228,225.72
3235,240.72
3242,248.22
3248,247.26
3255,250.32
3262,245.04
3269,259.62
3275,277.98
3287,277.98
3288,279.398181818182
3297,280.38
3305,264.951428571429
3311,253.38
3323,261.54
3332,244.44
3338,233.04
3351,228.96
3365,254.88
3367,253.568571428571
3379,245.7
3396,220.32
3401,226.37
3414,242.1
3424,223.65
3430,212.58
3445,258.12
3458,274.02
3459,276.249230769231
3471,303
3485,265.2
3486,262.5
3505,234
3506,234.405714285714
3513,237.245714285714
3526,242.52
3540,267.42
3554,248.22
3555,247.43625
3570,235.68
3574,234.6
3584,231.9
3598,187.8
3610,200.1
3611,198.664285714286
3624,180
3638,172.2
3639,200.4
3652,196.25625
